Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Gender;Observation_Zone;Mode;Volume
202002;08:30:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;24
202002;08:30:00;WE;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;87
202002;08:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;46
202002;08:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;26
202002;08:30:00;WE;Nord-Kivu;Sud-Kivu;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;23
202002;09:00:00;JO;Haut-Katanga;Kinshasa;3h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;26
202002;09:00:00;JO;Haut-Katanga;Kwilu;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;23
202002;09:00:00;JO;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;22
202002;09:00:00;JO;Haut-Katanga;Lualaba;3h;Outside_Resident;Destination_Zone_Worker;F;ZoneGlobale;All_modes;27
202002;09:00:00;JO;Haut-Katanga;Lualaba;3h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;23
202002;09:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;22
202002;09:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;248
202002;09:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;80
202002;09:00:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;25
202002;09:00:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;23
202002;09:00:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;21
202002;09:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;185
202002;09:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;21
