Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Area/Nationality;Type;Observation_Zone;Mode;Volume
202002;06:30:00;JO;Nord-Kivu;Sud-Kivu;3h;Destination_Zone_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;56
202002;06:30:00;JO;Sud-Kivu;Nord-Kivu;3h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;60
202002;06:30:00;WE;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;40
202002;06:30:00;WE;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;22
202002;06:30:00;WE;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;82
202002;06:30:00;WE;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;51
202002;06:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;51
202002;06:30:00;WE;Hors_Zone;Ituri;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;162
202002;06:30:00;WE;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;Kasa‹-Oriental;Local;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;374
202002;06:30:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;Nigeria;Etranger;ZoneGlobale;All_modes;48
202002;06:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;130
202002;06:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;54
202002;06:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;35
202002;06:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;30
202002;06:30:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;54
