Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Age;Observation_Zone;Mode;Volume
202002;18:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;38
202002;18:30:00;JO;Kongo-Central;Kinshasa;3h;Outside_Resident;Origin_Zone_Worker;25-34;ZoneGlobale;All_modes;27
202002;18:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;25-34;ZoneGlobale;All_modes;23
202002;18:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;55-64;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;33
202002;18:30:00;JO;Nord-Kivu;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Nord-Kivu;Kinshasa;3h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;28
202002;18:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;21
202002;18:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;29
202002;18:30:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;23
202002;18:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;60
202002;18:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;97
202002;18:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;93
202002;19:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;30
202002;19:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;29
202002;19:00:00;JO;Haut-Katanga;Lualaba;3h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;30
202002;19:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;193
202002;19:00:00;JO;Hors_Zone;Haut-Uele;1h;Outside_Resident;Outside_Worker;45-54;ZoneGlobale;All_modes;26
202002;19:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;28
202002;19:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;58
202002;19:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;18-24;ZoneGlobale;All_modes;72
202002;19:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;99
202002;19:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;50
202002;19:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;45-54;ZoneGlobale;All_modes;27
202002;19:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;223
